,mahsulot_nomi,mahsulot_turi,mahsulot_narhi,sotilgan_vaqti,bonus_karta,market_nomi
324004,MERCI 250GR SOKOLAD FINEST SELECTION QUTU,Shirinliklar,9.85,2019-10-07,False,Əhmədli
324005,OLINDA 500GR QARA CAY SEYLON EARL GREY QUTU,Choy,12.1,2019-10-07,False,Əhmədli
324006,DIROL 13.6GR SAQQIZ ARBUZNAYA SVEJEST,Saqichlar,0.45,2019-10-07,False,Əhmədli
324007,CILLIT BANG 750ML ANTIPATEN+GIGIYENA PL/Q,"Yuvish vositalari, tozalagichlar",3.77,2019-10-07,False,Əhmədli
324008,GP RECHARGEABLE BATAREYA 2-LI AAA 700MAH,Batareya,5.85,2019-10-07,False,Əhmədli
324009,POBI ENLI SIPILKA PB305,Plastik idishlar,1.2,2019-10-07,False,Əhmədli
324240,BETA TEA OPA 250GR CAY,Choy,4.4,2019-10-01,True,Əhmədli
324241,BETA TEA 1000GR EARL GREY,Choy,19.8,2019-10-01,True,Əhmədli
324242,LYUBIM.KRAY 600GR PECENYE OVSYANOE POSET,Shirinliklar,2.4,2019-10-01,True,Əhmədli
324243,NAPOLETANO 250GR KOFE V ZERNAX ARABICA SUPREME,"Kofe, kakao va h.k",11.9,2019-10-01,True,Əhmədli
324482,MVT.BROKLI KG,Sabzavotlar,4.9,2019-06-02,True,Əhmədli
324483,DONDURMA ICELAND 75GR OSKAR ESKIMO SOKOLADLI,Muzqaymoq,0.7,2019-06-02,True,Əhmədli
324484,KOLBASA CERKIZ SER.MOSKOVIYA KG,Kolbasa va sosiskalar,19.8,2019-06-02,True,Əhmədli
324485,"RUSSKIY STANDART GOLD 0,7LT ARAQ",Aroq,26.44,2019-06-02,True,Əhmədli
324486,ZEDAZENI 500ML LIMONAD ARMUD S/Q,Mevali sharbatlar,1.22,2019-06-02,True,Əhmədli
324487,UVELKA 1.5KG QARABASAQ EKSTRA,Donli mahsulotlar,3.95,2019-06-02,True,Əhmədli
324488,SMILE LIGHT 40W R50 LAMPA,Maishiy buyumlar,1.12,2019-06-02,True,Əhmədli
324489,PENDIR SABRAN YAYLAQ KG,Pishloqlar,6.45,2019-06-02,True,Əhmədli
324490,"GS-2 ZOLOTOE KOLCO 0,5LT PREMIUM ARAQ S/Q",Aroq,5.55,2019-06-02,True,Əhmədli
324510,FITNESS PRODUCT 110GR XLEBCI  RISOVIE,Diabet mahsulotlari,0.85,2019-01-30,False,Əhmədli
324511,RUSSIAN SPEECH 500ML ARAQ SPECIAL GOY,Aroq,20.15,2019-01-30,False,Əhmədli
324512,MONTELLA GRANIT VE TEFLON TAVA QULPLU 26SM,Idish-tovoq,17.5,2019-01-30,False,Əhmədli
324513,KREKER ANI FIYONIK DUZLU KG,Shirinliklar,4.95,2019-01-30,False,Əhmədli
324514,KOLOMENSKOYE 230GR TORT SEMEYNIY OREXOVIY VAFELNIY,Shirinliklar,2.0,2019-01-30,False,Əhmədli
324515,DUBRAR 1.5LT QAZSIZ SU,Suvlar,0.65,2019-01-30,False,Əhmədli
324516,ULKER 110GR DOLCIA PUDING CIYELEKLI,Yogurt,0.65,2019-01-30,False,Əhmədli
324576,HAMAM DESMALI USAQ UCUN,To'qimachilik,8.1,2019-01-21,False,Əhmədli
324577,ZS 3-LU CEREZ QABI 33041,Idish-tovoq,3.2,2019-01-21,False,Əhmədli
324578,TBILVINO 750ML GCINANDALI SERAB A S/Q,Vinolar,17.3,2019-01-21,False,Əhmədli
324579,CONTE SOLO 20DEN QADIN KALQOT 5 NATURAL,Paypoq,3.87,2019-01-21,False,Əhmədli
324580,HAME 325GR KETCUP SASLICNIY,Souslar,2.25,2019-01-21,False,Əhmədli
324581,SIBIRSKIE OTRUBI 200GR S RASTOROPSEY POSET,Diabet mahsulotlari,2.9,2019-01-21,False,Əhmədli
324582,SHAHIN 180GR SUCUK KANGAL SAR.KOK,Kolbasa va sosiskalar,10.7,2019-01-21,False,Əhmədli
324601,SIGARET WINCHESTER COMPACT SILVER,Tamaki mahsulotlari,2.2,2019-09-29,True,Əhmədli
324602,MILKY SIP 30GR SUDLU  CUBUK  DAILY  SOKOLAD,Kokteyllar,1.05,2019-09-29,True,Əhmədli
324603,IRIS BOLLUQ TOFFIBOL KG,Shirinliklar,4.2,2019-09-29,True,Əhmədli
324717,NUR SANTEXNIKA BIDE SETI BURUQ,Maishiy buyumlar,6.5,2019-04-26,True,Əhmədli
324718,SUNCOOK ALMA KESME LOVHESI,Plastik idishlar,6.9,2019-04-26,True,Əhmədli
324719,B.YAG SPREDI FERMER MOSKOVSKOYE KG,Yog'lar,3.55,2019-04-26,True,Əhmədli
324720,ELBRUSINKA 0.5LT TERXUN LIMONAD S/Q,Mevali sharbatlar,0.6,2019-04-26,True,Əhmədli
324721,SIGARET ARGO KS BLUE,Tamaki mahsulotlari,1.5,2019-04-26,True,Əhmədli
324767,CAN 500GR LOKUM IKI DEFE QOVRULMUS QUTU,Shirinliklar,10.1,2019-06-17,False,Əhmədli
324768,SWEET HOME  240LT ZIBIL TORBASI,Maishiy buyumlar,6.44,2019-06-17,False,Əhmədli
324769,MELISSA 1LT ZEYTUN YAGI RIVIERA S/Q,Yog'lar,14.15,2019-06-17,False,Əhmədli
324770,KOLBASA H.T KOZLEME BISMIS VAKUUM KG,Kolbasa va sosiskalar,9.25,2019-06-17,False,Əhmədli
324771,CERKIZ 400GR KOLBASA KRAKOVSKAYA QOST PAKET,Kolbasa va sosiskalar,9.85,2019-06-17,False,Əhmədli
324772,NEW CITY PLASTIK BICAQ 10-LU,Plastik idishlar,0.45,2019-06-17,False,Əhmədli
324773,SAVILLE 500GR ARPA RISONE,Donli mahsulotlar,0.95,2019-06-17,False,Əhmədli
324774,INCANTO COSMO 20DEN KALQOTKA 4,Paypoq,4.45,2019-06-17,False,Əhmədli
324815,MAMEDOFF 500ML COCKTAIL VODKA 8% D/Q,Energetik ichimliklar,1.95,2019-04-27,True,Əhmədli
324816,TAMEK 480GR KETCUP ADI PL/Q,Souslar,3.95,2019-04-27,True,Əhmədli
324817,KIBRIT ADET  TAYQA,Maishiy buyumlar,0.27,2019-04-27,True,Əhmədli
324818,MENTOS 54GR SAQQIZ PURE FRESSH TUTTI-FRUTTI PL/Q,Saqichlar,3.7,2019-04-27,True,Əhmədli
324819,KHILIANI 0.5LT MOXITO LIMONAD S/Q,Mevali sharbatlar,1.07,2019-04-27,True,Əhmədli
324820,SEDRAYA ZEMLYA 400GR LOBYA QARAGOZ,Donli mahsulotlar,1.9,2019-04-27,True,Əhmədli
325022,RAJOK PLASTIK UZUN BELQASIYAN,Poyafzal aksessuarlari,7.05,2019-06-14,True,Əhmədli
325023,NATURA 1LT SAFTALI SIRESI,Mevali sharbatlar,1.55,2019-06-14,True,Əhmədli
325024,FRUCHTDORF 1LT ALBALI MEYVE SIRESI S/Q,Mevali sharbatlar,4.7,2019-06-14,True,Əhmədli
325025,MONARX 350GR DUZ YODLU EKSTRA QIRMIZI PL/Q,Ziravorlar,1.55,2019-06-14,True,Əhmədli
325132,KARIZ 200ML MEYVE SIRESI PERSIAN JUICE S/Q,Mevali sharbatlar,1.2,2019-01-21,True,Əhmədli
325133,SOCADO 250GR TEXTURE SOKOLAD QUTU AG,Shirinliklar,21.1,2019-01-21,True,Əhmədli
325134,TITIZ SABUN QABI,Maishiy buyumlar,1.08,2019-01-21,True,Əhmədli
325135,MIRINDA 2LT PORTAGAL,Gazli ichimliklar,1.45,2019-01-21,True,Əhmədli
325136,FIRIN.TARTALETKA KARAMELLI QOZLU KG,Shirinliklar,13.9,2019-01-21,True,Əhmədli
325137,MVT.AVAKADO EDED,Mevalar,4.5,2019-01-21,True,Əhmədli
325138,FIRIN.BULKA FRANSIZ QOZLU EDED,Shirinliklar,0.7,2019-01-21,True,Əhmədli
325139,SAFAROVA 50GR QIRMIZI ISTIOT UYUDULMUS PL/Q,Ziravorlar,1.3,2019-01-21,True,Əhmədli
325140,QEND DOGRAYAN,Idish-tovoq,1.5,2019-01-21,True,Əhmədli
325260,SIRAB 0.5LT QAZLI SU PL/Q,Suvlar,0.37,2019-09-23,False,Əhmədli
325261,TUC 21GR KREKER QAYMAQ VE SOGAN,Shirinliklar,0.37,2019-09-23,False,Əhmədli
325368,ROSENBAL POLOTENCA DLYA POLA,"Yuvish vositalari, tozalagichlar",2.35,2019-07-29,False,Əhmədli
325369,TRUFEL POBEDA KOFE MOKKA/TIRAMISU KG,Shirinliklar,18.2,2019-07-29,False,Əhmədli
325370,ZR.SAB 500GR CAMIS QATIGI PL/Q,Qatiq,1.7,2019-07-29,False,Əhmədli
325371,VITA 1000 1LT ALBALI MEYVE SIRESI,Mevali sharbatlar,1.54,2019-07-29,False,Əhmədli
325372,SANITEX HAMAM SUNGERI TEKLI,"Yuvish vositalari, tozalagichlar",0.85,2019-07-29,False,Əhmədli
325373,WHITE TIGER 0.7LT ARAQ,Aroq,9.0,2019-07-29,False,Əhmədli
325374,SUPER FRESH 450GR SOGAN KROKET,Konservalar,6.35,2019-07-29,False,Əhmədli
325375,FORA 820GR FIT ZEYTUN QARA TUMLU D/Q,Zaytun,5.3,2019-07-29,False,Əhmədli
325519,SAHDAG 20LT SU,Suvlar,3.35,2019-10-02,False,Əhmədli
325520,AQUELLA 70-Li 48 DISK MAKYAJ PAMBIGI,"Yuvish vositalari, tozalagichlar",1.82,2019-10-02,False,Əhmədli
325521,BOSTAN 1LT HEYVA KOMPOTU,Kompotlar,1.33,2019-10-02,False,Əhmədli
325616,AQUA VITA 1LT QAZLI SU PL/Q,Suvlar,0.55,2019-09-21,True,Əhmədli
325617,CINQILLI 1LT QAZSIZ SU PL/Q,Suvlar,0.55,2019-09-21,True,Əhmədli
